branch_code,branch_name,branch_address,fbank_code,fstate_code2
12763,Mutiara Damansara,"Lot G96, Ground Level,
The Curve Mutiara Damansara,
47800 Petaling Jaya
Selangor",101,SGOR
12772,Puchong Prima,"H-01-10 & H-01-09, H-02-14 & H-02-13
Ground Floor & 1st Floor Block H
Pusat Perdagangan Puchong Prima
Jalan Prima 5/4
Taman Puchong Prima
47100 Puchong, Selangor.
Selangor",101,SGOR
12781,Kota Kemuning,"No. 9 & 11, Jalan Anggerik Vanila N31/N
Kota Kemuning
40460 Shah Alam
Selangor",101,SGOR
12419,Kajang Prima,"No 28 & 29 Jalan KP 1/2 
Kajang Prima
Off Jln Semenyih
43000 Kajang
Selangor",101,SGOR
12790,Damansara Damai,"Lot A09 & A10, Jalan PJU 10/2A
PJU 10 Damansara Damai
47830 Petaling Jaya
Selangor Darul Ehsan
Selangor",101,SGOR
12820,Bandar Sungai Long,"No 30 Jalan SL 1/12
Bandar Sg Long
43200 Kajang
Selangor",101,SGOR
12802,Equine Park,"B-1, Block B, Persiaran Akademi Perdana, Taman Equine, Bandar Putra Permai, 43300 Seri Kembangan Selangor
Selangor",101,SGOR
12866,Bandar Utama***,"Lot C.01, Concourse Level,
8 First Avenue,
Bandar Utama,
47800 Petaling Jaya
Selangor",101,SGOR
12848,Setia Alam,"No.2, Persiaran Setia Impian
Setia Alam, Section U13
40170 Shah Alam
Selangor",101,SGOR
12905,"Bandar Bukit Tinggi 1, Klang","Lot C1-1-0 & C1-1-1, Phase 1F1
Lebuh Batu Nilam
Bandar Bukit Tinggi 1
41400 Klang
Selangor",101,SGOR
12884,Bandar Puteri Puchong,"No 29 & 31 Jln Puteri 1/4
Bandar Puteri Puchong
47100 Puchong
Selangor",101,SGOR
12978,Ara Damansara,"Ground Flr (East Wing), Block G Oasis Square, No 2 Jln PJU 1A/7A, Ara Damansara PJU 1A, 47301 PJ",101,SGOR
12996,"The Reef, Rawang","Lot  A1, A2 & A3, Jln Reef 1/1, Pusat Perniagaan Reef, 48000 Rawang Sel.",101,SGOR
18608,Shaftsbury Cyberjaya,"Lot P1-36, Shaftsbury Square, 2350 Persiaran Multimedia, Cyber 6, 63000 Cyberjaya, Selangor",101,SGOR
12987,Seri Kembangan,"37 & 39 Ground & 1st Floor, Jalan SP 2/1, Taman Serdang Perdana, Sek 2, 43300 Seri Kembangan Sel",101,SGOR
5037,Bahau,"58-60, Jalan Besar,
72100 Bahau
Negeri Sembilan",101,NS
5073,Gemas,"4 & 5, Jalan Tampin,
73400 Gemas
Negeri Sembilan",101,NS
5064,Kuala Klawang,"121, Jalan Keyser,
Wisma UMNO,
Jalan Dato\ Moyang Salleh,
71600 Kuala Klawang
Negeri Sembilan",101,NS
5028,Kuala Pilah,"95-96, Jalan Dato\ Undang Johol,
72000 Kuala Pilah
Negeri Sembilan",101,NS
